,Date,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10
354,2016-12-23,50361.543605500025,52800.95699309177,49035.06017958554,56369.77174294159,44755.33471306405,51933.201366528374,54109.46986064728,50167.197749796476,49935.31397619356,48881.09573319002
355,2016-12-24,50778.045211406126,52785.233755525645,49047.88898377308,56455.38064009347,44790.61336744878,51981.044900151646,54226.021674204494,50317.85083808661,49893.90681110739,48910.013738032925
356,2016-12-25,50778.045211406126,52785.233755525645,49047.88898377308,56455.38064009347,44790.61336744878,51981.044900151646,54226.021674204494,50317.85083808661,49893.90681110739,48910.013738032925
357,2016-12-26,50778.045211406126,52785.233755525645,49047.88898377308,56455.38064009347,44790.61336744878,51981.044900151646,54226.021674204494,50317.85083808661,49893.90681110739,48910.013738032925
358,2016-12-27,50778.045211406126,52785.233755525645,49047.88898377308,56455.38064009347,44790.61336744878,51981.044900151646,54226.021674204494,50317.85083808661,49893.90681110739,48910.013738032925
359,2016-12-28,50662.85088270598,52770.08846268976,49014.79576868775,56568.11558780804,44750.050894354295,51976.92124789611,54345.57261130851,50422.924236577004,49877.20518650957,48897.078045578666
360,2016-12-29,50141.54651851828,52571.21468813091,48769.48950366499,56239.64982370888,44480.00823938876,51608.871192775594,53914.31106445738,50185.74808168774,49725.02908411884,48851.93670517248
361,2016-12-30,50400.861774263445,52821.13385388249,48940.99746773602,56253.22491340237,44770.59547531606,51880.61063052567,54068.00205029053,50239.20759384185,49855.86897801415,48971.01597702875
362,2016-12-31,50006.272020986,52618.04345991832,48758.3591080842,56218.27920633447,44531.919671545256,51590.41805496579,53887.61274434258,50177.25785701146,49708.81602816895,48914.97853290977
363,2017-01-01,50006.272020986,52618.04345991832,48758.3591080842,56218.27920633447,44531.919671545256,51590.41805496579,53887.61274434258,50177.25785701146,49708.81602816895,48914.97853290977
364,2017-01-02,50006.272020986,52618.04345991832,48758.3591080842,56218.27920633447,44531.919671545256,51590.41805496579,53887.61274434258,50177.25785701146,49708.81602816895,48914.97853290977
365,2017-01-03,50006.272020986,52618.04345991832,48758.3591080842,56218.27920633447,44531.919671545256,51590.41805496579,53887.61274434258,50177.25785701146,49708.81602816895,48914.97853290977
366,2017-01-04,50413.91138257275,52646.11829162317,48971.11555616949,56377.571843312704,44687.082343749644,51783.275844205215,54080.470533582,50337.910849772175,49794.48463575471,48857.38475702887
367,2017-01-05,50664.1207384551,52736.01516023614,49071.992639299424,56560.71660412055,44889.89384368637,51984.89565990548,54218.640162840275,50458.05656490552,49868.38521616852,48948.075202752836
368,2017-01-06,50744.49210220884,52915.03505884378,49298.74690557639,56658.43335752805,44982.76735641319,52112.22584775705,54403.5075564219,50472.41910943247,50063.10368620704,49047.38197624274
369,2017-01-07,50963.8714336643,53100.32718813125,49575.90487051361,56605.378679007175,45088.25419382525,52234.96058511933,54637.09053561151,50506.532826783776,50386.484316603804,49069.11955213167
370,2017-01-08,50963.8714336643,53100.32718813125,49575.90487051361,56605.378679007175,45088.25419382525,52234.96058511933,54637.09053561151,50506.532826783776,50386.484316603804,49069.11955213167
371,2017-01-09,50963.8714336643,53100.32718813125,49575.90487051361,56605.378679007175,45088.25419382525,52234.96058511933,54637.09053561151,50506.532826783776,50386.484316603804,49069.11955213167
372,2017-01-10,50861.299288673865,52760.81996021884,50042.12777430605,56527.9824389426,45080.60559316605,51968.90254297881,55180.41299180301,50518.768395467196,51053.92522565358,49888.25586746963
373,2017-01-11,49803.66865559996,52597.58222076383,49440.852650748544,56269.37468759006,44895.97875042078,51887.2374573248,54599.55202108132,50400.51196660869,50628.56626905163,49603.82311639491
374,2017-01-12,50084.05375519177,52944.28219546166,49562.82392227339,55903.914176712664,45385.03479462595,52426.55397712297,54933.740677900445,50765.243143389365,51008.025646866074,49003.74742552583
375,2017-01-13,50247.875240429705,52998.97265088561,49669.80502826827,56003.25961368783,45439.7252500499,52501.34852692025,55111.19217095939,50740.69225621148,51055.71171867173,49018.621078856806
376,2017-01-14,50168.668652013,52874.67922678649,49558.14660854631,56306.34378778561,45315.43182595078,52576.21440413431,55120.30803780038,50654.83002883511,51150.52275061346,49310.03539304941
377,2017-01-15,50168.668652013,52874.67922678649,49558.14660854631,56306.34378778561,45315.43182595078,52576.21440413431,55120.30803780038,50654.83002883511,51150.52275061346,49310.03539304941
378,2017-01-16,50168.668652013,52874.67922678649,49558.14660854631,56306.34378778561,45315.43182595078,52576.21440413431,55120.30803780038,50654.83002883511,51150.52275061346,49310.03539304941
379,2017-01-17,50168.668652013,52874.67922678649,49558.14660854631,56306.34378778561,45315.43182595078,52576.21440413431,55120.30803780038,50654.83002883511,51150.52275061346,49310.03539304941
380,2017-01-18,50334.95887984469,53108.92001165564,50089.98599024532,56612.33959466932,45661.297172728475,53025.86332463662,55546.64075459947,50798.483142453704,51255.25096126358,49662.994706845246
381,2017-01-19,50457.66658214302,53075.745752097646,50054.72176958289,56646.73306260693,45573.89503633094,52996.58135390004,55591.487616938466,50806.48471631085,51240.95484767313,49598.06932835872
382,2017-01-20,49939.887852638545,52855.140380706194,49664.721632826244,56343.98721729716,45209.974188708366,52691.07715272248,55234.88729545216,50622.089279164335,51029.83325131923,49474.902354287515
383,2017-01-21,50245.106633681884,53000.610838824825,49999.08119926341,56595.91486953879,45484.70242596946,53033.572023565845,55813.68779182603,50918.87891873468,51328.58850058677,49595.941772770115
384,2017-01-22,50245.106633681884,53000.610838824825,49999.08119926341,56595.91486953879,45484.70242596946,53033.572023565845,55813.68779182603,50918.87891873468,51328.58850058677,49595.941772770115
385,2017-01-23,50245.106633681884,53000.610838824825,49999.08119926341,56595.91486953879,45484.70242596946,53033.572023565845,55813.68779182603,50918.87891873468,51328.58850058677,49595.941772770115
386,2017-01-24,50148.31321898187,52774.55085640815,49907.96051493639,56505.274207112714,45518.58876243882,52982.3208044381,55920.0246945782,50885.79914339296,51185.534314745906,49640.40575863965
387,2017-01-25,50348.807988391025,53204.3730429169,50231.030609287904,57040.42794826249,45899.63268896847,53439.15078796625,56366.28006912685,51749.14832670496,52208.106111770176,49727.3298011252
388,2017-01-26,50300.60221304617,53281.831034713665,50279.407533148726,57009.88151435401,45958.82455589046,54098.21999883344,56466.76486718275,52166.80127854228,51938.7389658937,50207.91597920353
389,2017-01-27,50159.86427734079,53089.0308101401,50210.0076814834,56884.22566774053,45911.538902861765,54004.632087560676,56473.482209783506,52431.929551516136,52194.68474404158,50254.36468896836
390,2017-01-28,50250.31611964284,53204.45624903083,49836.44611917167,57007.488254337346,45944.96940339428,54198.1187597366,56448.08087494242,52758.569984247166,52234.854543233996,50626.78399139962
391,2017-01-29,50250.31611964284,53204.45624903083,49836.44611917167,57007.488254337346,45944.96940339428,54198.1187597366,56448.08087494242,52758.569984247166,52234.854543233996,50626.78399139962
392,2017-01-30,50250.31611964284,53204.45624903083,49836.44611917167,57007.488254337346,45944.96940339428,54198.1187597366,56448.08087494242,52758.569984247166,52234.854543233996,50626.78399139962
393,2017-01-31,50472.74552454893,53597.36931519602,49876.911832202626,57188.659661275124,46099.54169043942,54311.24640812699,56572.60216035872,52964.370267879916,52373.34256686323,50715.57092988379
394,2017-02-01,50642.59512129503,53848.259017933095,50151.325089712365,57370.635197720265,46298.363629795174,54544.702325572915,56806.05807780465,53091.35914949302,52612.61473979208,50775.94931790571
395,2017-02-02,50430.6449280447,53555.039986429496,49930.507567566994,57166.83949145987,46242.947371328824,54434.12752521104,56695.48327744277,52877.305774840715,52336.63867575118,50584.997224256
396,2017-02-03,50393.997074500825,53711.16548564837,50155.002597263556,57370.297896873046,46392.27923201894,54583.459385901166,56738.738042499026,52711.959562760894,52561.13370544775,50475.13729430662
397,2017-02-04,51100.368472103655,54059.622205362626,50206.54585443516,57657.39684837592,46634.65885609934,54885.065358856744,56849.50764854582,53011.00444463974,52612.676962619356,50610.77978992397
398,2017-02-05,51100.368472103655,54059.622205362626,50206.54585443516,57657.39684837592,46634.65885609934,54885.065358856744,56849.50764854582,53011.00444463974,52612.676962619356,50610.77978992397
399,2017-02-06,51100.368472103655,54059.622205362626,50206.54585443516,57657.39684837592,46634.65885609934,54885.065358856744,56849.50764854582,53011.00444463974,52612.676962619356,50610.77978992397
400,2017-02-07,50943.15215192815,53790.61310435611,50057.54666418347,57508.39765812424,46365.64975509282,54704.664016325405,56789.11621676931,52741.02900719835,52463.677772367664,50512.655642207275
401,2017-02-08,50835.01961642394,53687.68618680492,50152.81654288351,57531.49463149072,46262.72283754162,54601.73709877421,56713.73425528308,52699.459857858536,52558.947651067705,50459.26418946107
402,2017-02-09,50908.46632977096,54229.905304858934,50524.38382075126,57848.51760806907,46613.83384629544,54769.06891381358,56881.06607032244,53169.01297326177,52930.514928935445,50680.6751986693
403,2017-02-10,51256.86045520732,54150.892415596056,50445.37093148838,57707.577526371286,46548.032804704315,54657.32338676718,56862.72057978079,53055.26601322157,52851.502039672574,50729.90774338215
404,2017-02-11,51751.02021595442,54320.71236744314,50607.19121011182,57818.558683296156,46728.28221283589,55056.09412628008,57161.41171664759,53217.086291845,53013.32231829601,50883.050309125945
405,2017-02-12,51751.02021595442,54320.71236744314,50607.19121011182,57818.558683296156,46728.28221283589,55056.09412628008,57161.41171664759,53217.086291845,53013.32231829601,50883.050309125945
406,2017-02-13,51751.02021595442,54320.71236744314,50607.19121011182,57818.558683296156,46728.28221283589,55056.09412628008,57161.41171664759,53217.086291845,53013.32231829601,50883.050309125945
407,2017-02-14,52180.42942032135,54690.71492218037,50823.77863188473,58018.52345687476,46845.47759318518,55205.55307559937,57222.64520125732,53424.06282768992,53050.29190715936,51213.981981587465
408,2017-02-15,52156.412937960515,54895.56492044566,50809.683477842475,58014.61153451336,46787.341103259416,55096.366812563756,57255.19364420093,53424.04063964106,53122.988626633974,51597.85999725824
409,2017-02-16,52205.07947174414,54978.42207639903,50813.01894265633,58043.19103121937,46781.063629384,55511.48381172817,57363.86088205669,53438.380267029774,53141.83448125193,52082.16444035936
410,2017-02-17,51979.83006674804,54548.48178861222,50741.292903698486,58002.15893595404,46539.78195680902,55057.485865215116,57220.40571655689,53053.41158899851,52655.2205401509,52036.29246421912
411,2017-02-18,52361.43165473973,54804.95887636376,51054.04075398988,58405.9426646679,46884.10610581483,55438.92911649067,57457.40539265297,53417.83884156349,53054.997005194615,52225.28854442827
412,2017-02-19,52361.43165473973,54804.95887636376,51054.04075398988,58405.9426646679,46884.10610581483,55438.92911649067,57457.40539265297,53417.83884156349,53054.997005194615,52225.28854442827
413,2017-02-20,52361.43165473973,54804.95887636376,51054.04075398988,58405.9426646679,46884.10610581483,55438.92911649067,57457.40539265297,53417.83884156349,53054.997005194615,52225.28854442827
414,2017-02-21,52361.43165473973,54804.95887636376,51054.04075398988,58405.9426646679,46884.10610581483,55438.92911649067,57457.40539265297,53417.83884156349,53054.997005194615,52225.28854442827
415,2017-02-22,52726.604752326064,55122.78364799961,51348.60888437672,58867.89637618386,47377.89395820453,56017.40694045881,57750.76619245187,53788.54404258742,53372.62202555877,52490.713432612
416,2017-02-23,52822.1451523314,55202.464106842206,51502.03425237994,58660.40903675256,47336.27504381757,55774.30426018414,57914.442233864145,53688.413761037635,53452.302484401356,52170.608071608505
417,2017-02-24,52912.42924184802,55401.220867840326,51782.41080491406,58757.28250491986,47733.69062094637,55926.945368933106,58206.32673773785,53968.23892412649,53690.76972006699,52026.30791913824
418,2017-02-25,53418.435804041765,55654.521346391564,51988.906782154794,59137.40537922881,47984.38106366235,56237.158716000915,58515.90642510896,54185.662973455524,53911.1924347148,52192.97538161481
419,2017-02-26,53418.435804041765,55654.521346391564,51988.906782154794,59137.40537922881,47984.38106366235,56237.158716000915,58515.90642510896,54185.662973455524,53911.1924347148,52192.97538161481
420,2017-02-27,53418.435804041765,55654.521346391564,51988.906782154794,59137.40537922881,47984.38106366235,56237.158716000915,58515.90642510896,54185.662973455524,53911.1924347148,52192.97538161481
421,2017-02-28,53727.773845880554,55526.01345387747,51716.378249820526,59006.178955821684,47827.682112087765,56159.82515066427,58218.69306890271,54114.40373532523,53754.493483140206,52113.609995376864
422,2017-03-01,53658.67811813061,55546.671335830935,51898.15991484669,59089.895910330786,48172.273059573345,56504.41609814985,58049.54793104782,54252.333819520885,53571.174251254604,52319.20173040507
423,2017-03-02,53704.1998205143,55562.352109854306,51833.702548111585,59343.49987768064,48211.19266938464,56543.335707961145,58011.5502786466,54291.25342933218,53660.16659151468,52240.59998803816
424,2017-03-03,53926.73700192583,55691.42742306013,51802.26219383898,59434.577538485246,48179.75231511204,56511.89535368854,58049.54793104782,54291.25342933218,53745.32563201021,52240.59998803816
425,2017-03-04,53926.529705812085,55506.88295483689,51613.61921151795,59250.033070262005,47991.109332791006,56323.25237136751,57845.486703048344,54087.192201332706,53352.6214216897,52240.59998803816
426,2017-03-05,53926.529705812085,55506.88295483689,51613.61921151795,59250.033070262005,47991.109332791006,56323.25237136751,57845.486703048344,54087.192201332706,53352.6214216897,52240.59998803816
427,2017-03-06,53926.529705812085,55506.88295483689,51613.61921151795,59250.033070262005,47991.109332791006,56323.25237136751,57845.486703048344,54087.192201332706,53352.6214216897,52240.59998803816
428,2017-03-07,53726.33676904731,55354.89261365664,51613.61921151795,59098.04272908175,47991.109332791006,56323.25237136751,57693.49636186809,53935.201860152454,53200.63108050945,52240.59998803816
429,2017-03-08,53536.1027478631,55385.3296740508,51568.1582212416,59128.47978947592,47945.64834251466,56277.79138109116,57693.49636186809,53889.74086987611,53155.1700902331,52240.59998803816
430,2017-03-09,53296.00777753351,55226.17570853813,51311.42045684777,58969.32582396325,47688.91057812083,56021.05361669733,57693.49636186809,53633.003105482276,52898.43232583927,52240.59998803816
431,2017-03-10,53119.2271439572,55260.45762175685,51267.63533096156,59010.513130169384,47652.030845222034,55977.26849081112,57686.59096888067,53596.12337258348,52854.647199953055,52240.59998803816
432,2017-03-11,53344.83634171471,55735.33142459653,51443.25325353462,59284.23759524146,47626.499430027485,56152.88641338418,57887.74030664828,53570.59195738893,53030.265122526114,52240.59998803816
433,2017-03-12,53344.83634171471,55735.33142459653,51443.25325353462,59284.23759524146,47626.499430027485,56152.88641338418,57887.74030664828,53570.59195738893,53030.265122526114,52240.59998803816
434,2017-03-13,53344.83634171471,55735.33142459653,51443.25325353462,59284.23759524146,47626.499430027485,56152.88641338418,57887.74030664828,53570.59195738893,53030.265122526114,52240.59998803816
435,2017-03-14,53411.650885979914,55750.35622233414,51464.78336212207,59228.08657334967,47576.853718985534,56174.41652197163,57958.91612627768,53520.94624634698,53051.79523111357,52240.59998803816
436,2017-03-15,52807.74913555666,55458.840625163415,51212.30128450381,58936.57097617894,47324.371641367274,55921.93444435337,57895.47670612983,53268.46416872872,52799.313153495306,52240.59998803816
437,2017-03-16,53589.72159227701,56025.666699758374,51588.29608375186,59127.40225152585,47324.371641367274,56297.92924360142,58334.910925525735,53268.46416872872,53175.30795274336,52240.59998803816
438,2017-03-17,53488.87417348256,55884.71223168261,51515.573220325925,58986.44778345009,47324.371641367274,56225.206380175485,58262.1880620998,53268.46416872872,53102.58508931742,52240.59998803816
439,2017-03-18,53479.51055045949,55777.94850223851,51481.53235430776,58986.44778345009,47324.371641367274,56191.16551415732,58228.147196081634,53268.46416872872,53068.54422329926,52240.59998803816
440,2017-03-19,53479.51055045949,55777.94850223851,51481.53235430776,58986.44778345009,47324.371641367274,56191.16551415732,58228.147196081634,53268.46416872872,53068.54422329926,52240.59998803816
441,2017-03-20,53479.51055045949,55777.94850223851,51481.53235430776,58986.44778345009,47324.371641367274,56191.16551415732,58228.147196081634,53268.46416872872,53068.54422329926,52240.59998803816
442,2017-03-21,53236.43237047111,55716.0561258872,51481.53235430776,58986.44778345009,47324.371641367274,56191.16551415732,58228.147196081634,53268.46416872872,53068.54422329926,52240.59998803816
443,2017-03-22,52348.67580582502,55716.0561258872,51481.53235430776,58986.44778345009,47324.371641367274,56191.16551415732,58228.147196081634,53268.46416872872,53068.54422329926,52240.59998803816
444,2017-03-23,51942.76116155437,55716.0561258872,51481.53235430776,58986.44778345009,47324.371641367274,56191.16551415732,58228.147196081634,53268.46416872872,53068.54422329926,52240.59998803816
445,2017-03-24,51831.269379697995,55716.0561258872,51481.53235430776,58986.44778345009,47324.371641367274,56191.16551415732,58228.147196081634,53268.46416872872,53068.54422329926,52240.59998803816
446,2017-03-25,51855.5680302501,55716.0561258872,51481.53235430776,58986.44778345009,47324.371641367274,56191.16551415732,58228.147196081634,53268.46416872872,53068.54422329926,52240.59998803816
447,2017-03-26,51855.5680302501,55716.0561258872,51481.53235430776,58986.44778345009,47324.371641367274,56191.16551415732,58228.147196081634,53268.46416872872,53068.54422329926,52240.59998803816
